ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YPR104C,0.0025,0.971,272.1,4.5,5.2%
YGR245C,0.0025,0.995,273.1,4.6,0.6%
YHL004W,0.0025,0.998,273.4,4.6,0.4%
YJR112W,0.0025,1.000,274.3,4.6,0.1%
YOR006C,0.0025,0.962,275.1,4.6,6.8%
YDR318W,0.0025,0.999,275.3,4.6,0.1%
YGR215W,0.0025,0.998,275.7,4.6,0.1%
YIL003W,0.0025,0.960,275.7,4.6,7.2%
YLR452C,0.0025,0.999,275.8,4.6,0.1%
YBL090W,0.0025,0.999,276.2,4.6,0.2%
YOR196C,0.0025,0.996,276.4,4.6,0.5%
YLR038C,0.0025,0.994,276.5,4.6,1.0%
YPL207W,0.0025,0.995,276.8,4.6,0.5%
YJR147W,0.0025,1.000,276.9,4.6,0.0%
YHR119W,0.0025,0.996,277.5,4.6,0.6%
YNL167C,0.0025,0.992,277.9,4.6,0.8%
YGL225W,0.0025,0.979,278.0,4.6,1.8%
YOR290C,0.0025,0.999,278.2,4.6,0.6%
YOR307C,0.0025,0.988,278.5,4.6,5.3%
YOR020W-A,0.0025,0.999,278.6,4.6,0.0%
YMR032W,0.0025,0.670,278.8,4.6,23.1%
YBR007C,0.0025,1.000,279.7,4.7,0.2%
YAL046C,0.0025,0.998,280.0,4.7,0.2%
YDR261C,0.0025,0.946,280.0,4.7,3.2%
YNL039W,0.0025,0.822,280.4,4.7,4.2%
YGR042W,0.0025,1.000,280.6,4.7,0.0%
YIL005W,0.0025,0.994,280.7,4.7,0.8%
YPR141C,0.0025,0.989,281.0,4.7,0.9%
YOL030W,0.0025,0.999,281.0,4.7,0.1%
YNL133C,0.0025,0.992,281.1,4.7,0.5%
YKL176C,0.0025,0.998,281.1,4.7,0.1%
YBR146W,0.0025,0.993,281.3,4.7,1.0%
YBR069C,0.0025,0.989,281.4,4.7,0.9%
YBL018C,0.0025,0.996,281.5,4.7,0.4%
