ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YBL091C,0.0012,0.997,587.4,9.8,0.2%
YHR003C,0.0012,0.994,587.4,9.8,0.5%
YNL050C,0.0012,0.997,587.4,9.8,0.2%
YCR035C,0.0012,0.999,587.5,9.8,0.1%
YPL012W,0.0012,0.999,587.6,9.8,0.0%
YGR167W,0.0012,0.997,587.7,9.8,0.2%
YNL059C,0.0012,0.996,587.8,9.8,0.4%
YLR233C,0.0012,0.993,587.8,9.8,0.5%
YIL091C,0.0012,0.998,588.0,9.8,0.1%
YOL139C,0.0012,0.997,588.1,9.8,0.2%
YHR064C,0.0012,0.996,588.3,9.8,0.3%
YLR005W,0.0012,0.998,588.6,9.8,0.2%
YKL091C,0.0012,0.998,588.6,9.8,0.1%
YKR008W,0.0012,0.996,588.7,9.8,0.4%
YBL066C,0.0012,0.957,589.0,9.8,5.7%
YLR029C,0.0012,0.995,589.0,9.8,0.4%
YBR176W,0.0012,0.994,589.1,9.8,0.5%
YMR261C,0.0012,0.998,589.2,9.8,0.2%
YDR312W,0.0012,0.996,589.3,9.8,0.2%
YOL121C,0.0012,0.993,589.5,9.8,0.5%
YIL076W,0.0012,0.994,589.6,9.8,0.5%
YJR017C,0.0012,0.997,589.9,9.8,0.2%
YOR251C,0.0012,0.997,589.9,9.8,0.3%
YIL075C,0.0012,0.999,589.9,9.8,0.1%
YNL153C,0.0012,0.997,590.2,9.8,0.2%
YBR031W,0.0012,0.994,590.2,9.8,0.4%
YER157W,0.0012,0.995,590.2,9.8,0.4%
YDL137W,0.0012,0.997,590.3,9.8,0.2%
YDL192W,0.0012,0.997,590.3,9.8,0.2%
YLR347C,0.0012,0.996,590.3,9.8,0.3%
YOR261C,0.0012,0.998,590.6,9.8,0.2%
YHR117W,0.0012,0.996,590.6,9.8,0.3%
YOR117W,0.0012,0.999,590.6,9.8,0.1%
YLR397C,0.0012,0.997,590.7,9.8,0.3%
YNL069C,0.0012,0.994,590.8,9.8,0.4%
YGR083C,0.0012,0.997,590.8,9.8,0.3%
YFL034C-A,0.0012,0.999,590.8,9.8,0.0%
YCR057C,0.0012,0.999,591.0,9.8,0.1%
YPL094C,0.0012,0.995,591.1,9.9,0.3%
YDL136W,0.0012,0.993,591.1,9.9,0.6%
YDL191W,0.0012,0.993,591.1,9.9,0.6%
YKL009W,0.0012,0.998,591.4,9.9,0.2%
YFL005W,0.0012,0.997,591.5,9.9,0.3%
YCR027C,0.0012,0.997,591.5,9.9,0.3%
YOL021C,0.0012,0.998,591.5,9.9,0.1%
YFR037C,0.0012,0.997,591.6,9.9,0.2%
YHR203C,0.0012,0.995,591.7,9.9,0.4%
YJR145C,0.0012,0.995,591.7,9.9,0.4%
YDR167W,0.0012,0.998,591.8,9.9,0.2%
YLR442C,0.0012,0.999,591.9,9.9,0.2%
YIL078W,0.0012,0.996,591.9,9.9,0.3%
YDR388W,0.0012,0.999,592.0,9.9,0.0%
YNL185C,0.0012,0.998,592.0,9.9,0.1%
YJR143C,0.0012,0.994,592.0,9.9,0.4%
YBR041W,0.0012,0.999,592.1,9.9,0.0%
YBR002C,0.0012,0.998,592.1,9.9,0.1%
YHR069C,0.0012,0.998,592.2,9.9,0.1%
YDL018C,0.0012,0.999,592.2,9.9,0.1%
YIL030C,0.0012,0.985,592.3,9.9,0.6%
YBR110W,0.0012,0.991,592.3,9.9,0.4%
YBR059C,0.0012,0.999,592.4,9.9,0.1%
YOR086C,0.0012,0.999,592.5,9.9,0.1%
YLR439W,0.0012,0.994,592.6,9.9,0.5%
YDR407C,0.0012,0.999,592.8,9.9,0.1%
YNL292W,0.0012,0.997,593.0,9.9,0.3%
YBR235W,0.0012,0.991,593.1,9.9,0.8%
YGL157W,0.0012,0.997,593.1,9.9,0.1%
YKL117W,0.0012,0.999,593.2,9.9,0.0%
YER174C,0.0012,0.972,593.2,9.9,0.4%
YDR385W,0.0012,0.996,593.3,9.9,0.3%
YOR133W,0.0012,0.996,593.3,9.9,0.3%
YDR292C,0.0012,0.999,594.1,9.9,0.1%
YPL075W,0.0012,0.970,594.5,9.9,1.0%
YBL024W,0.0012,0.996,594.6,9.9,0.3%
YDL201W,0.0012,0.997,594.8,9.9,0.2%
YPL031C,0.0012,0.997,594.9,9.9,0.3%
YOR206W,0.0012,0.997,595.0,9.9,0.2%
YBL092W,0.0012,0.995,595.0,9.9,0.4%
YDR432W,0.0012,0.998,595.1,9.9,0.2%
YOL061W,0.0012,0.999,595.2,9.9,0.0%
YHR074W,0.0012,0.996,595.5,9.9,0.3%
YPL079W,0.0012,0.993,595.5,9.9,0.5%
YNL199C,0.0012,0.997,595.6,9.9,0.1%
YDR189W,0.0012,0.992,595.6,9.9,0.8%
YGL031C,0.0012,0.994,595.6,9.9,0.4%
YNL132W,0.0012,0.998,595.6,9.9,0.1%
YOL103W-B,0.0012,0.998,595.6,9.9,0.1%
YMR298W,0.0012,0.997,595.8,9.9,0.2%
YLR181C,0.0012,0.996,595.9,9.9,0.4%
YDL181W,0.0012,0.996,596.2,9.9,0.4%
YER005W,0.0012,0.998,596.3,9.9,0.2%
YGR285C,0.0012,0.997,596.4,9.9,0.2%
YPL243W,0.0012,0.997,596.5,9.9,0.2%
YER183C,0.0012,0.988,596.6,9.9,1.3%
YDR212W,0.0012,0.998,596.6,9.9,0.2%
YOR096W,0.0012,0.993,596.7,9.9,0.5%
YPL233W,0.0012,0.994,597.0,9.9,0.2%
YGL014W,0.0012,0.997,597.0,10.0,0.2%
YDR490C,0.0012,0.998,597.4,10.0,0.1%
YLR361C-A,0.0012,0.997,597.4,10.0,0.4%
YKL054C,0.0012,0.996,597.5,10.0,0.3%
YML030W,0.0012,0.994,597.6,10.0,0.2%
YNL232W,0.0012,0.999,597.7,10.0,0.1%
YOR042W,0.0012,0.998,597.9,10.0,0.2%
YCR031C,0.0012,0.993,598.1,10.0,0.5%
YJL191W,0.0012,0.993,598.1,10.0,0.5%
YMR109W,0.0012,0.996,598.1,10.0,0.3%
YLR292C,0.0012,0.998,598.3,10.0,0.1%
YPR114W,0.0012,0.975,598.5,10.0,1.0%
YFL018C,0.0012,0.996,598.5,10.0,0.4%
YJR101W,0.0012,0.999,598.7,10.0,0.0%
YEL002C,0.0012,0.998,598.8,10.0,0.1%
YBR118W,0.0012,0.996,598.9,10.0,0.3%
YPR080W,0.0012,0.996,598.9,10.0,0.3%
YLR412W,0.0012,0.999,599.0,10.0,0.1%
YMR119W,0.0012,1.000,599.0,10.0,0.1%
YMR012W,0.0012,0.997,599.0,10.0,0.3%
YHR042W,0.0012,0.997,599.2,10.0,0.2%
YOR197W,0.0012,0.999,599.2,10.0,0.1%
YOR241W,0.0012,0.995,599.2,10.0,0.4%
YGL155W,0.0012,0.857,599.3,10.0,5.5%
YBR166C,0.0012,0.999,599.3,10.0,0.1%
YOR239W,0.0012,0.998,599.3,10.0,0.2%
YKL081W,0.0012,0.994,599.4,10.0,0.5%
YJR103W,0.0012,0.998,599.5,10.0,0.2%
YGR174C,0.0012,0.992,599.5,10.0,0.8%
YNL329C,0.0012,0.993,599.5,10.0,0.8%
YBR154C,0.0012,0.995,599.6,10.0,0.4%
YFR021W,0.0012,0.999,599.6,10.0,0.0%
YHL010C,0.0012,0.995,599.6,10.0,0.2%
YER023W,0.0012,0.997,599.8,10.0,0.2%
YGR158C,0.0012,0.996,600.0,10.0,0.3%
YDR188W,0.0012,0.998,600.0,10.0,0.2%
YLR147C,0.0012,0.998,600.0,10.0,0.1%
YJR065C,0.0012,0.999,600.1,10.0,0.1%
YBR087W,0.0012,0.983,600.4,10.0,0.6%
YJL140W,0.0012,0.995,600.5,10.0,0.4%
YLR268W,0.0012,0.994,600.6,10.0,0.4%
YGL221C,0.0012,0.996,600.7,10.0,0.4%
YCR093W,0.0012,0.997,600.9,10.0,0.3%
YLR143W,0.0012,0.999,601.1,10.0,0.1%
YBR211C,0.0012,1.000,601.1,10.0,0.0%
YIL041W,0.0012,0.999,601.3,10.0,0.1%
YLR447C,0.0012,0.997,601.3,10.0,0.2%
YMR039C,0.0012,0.991,601.3,10.0,0.6%
YDR108W,0.0012,0.979,601.4,10.0,0.8%
YBR162W-A,0.0012,0.996,601.5,10.0,0.3%
YML008C,0.0012,0.999,601.6,10.0,0.1%
YDR495C,0.0012,0.994,601.7,10.0,0.7%
YBL105C,0.0012,0.998,601.8,10.0,0.2%
YHR039C,0.0012,0.998,602.0,10.0,0.1%
YHR201C,0.0012,0.995,602.5,10.0,0.5%
YNR049C,0.0012,0.993,602.5,10.0,0.6%
YDR264C,0.0012,0.997,602.6,10.0,0.1%
YOL076W,0.0012,0.996,602.6,10.0,0.3%
YGR194C,0.0011,0.915,602.9,10.0,3.3%
Q0250,0.0011,0.995,603.1,10.1,0.4%
YHR193C,0.0011,0.996,603.3,10.1,0.3%
YDL055C,0.0011,0.993,603.4,10.1,0.5%
YER010C,0.0011,0.999,603.4,10.1,0.1%
YHR196W,0.0011,0.998,603.4,10.1,0.1%
YDL047W,0.0011,0.992,603.5,10.1,0.7%
YBL068W,0.0011,0.997,603.7,10.1,0.2%
YMR116C,0.0011,0.993,603.7,10.1,0.5%
YDR255C,0.0011,0.995,603.8,10.1,0.6%
YPR019W,0.0011,0.989,603.9,10.1,0.8%
YDL208W,0.0011,0.998,603.9,10.1,0.1%
YDL225W,0.0011,0.998,604.0,10.1,0.1%
YJL155C,0.0011,0.999,604.2,10.1,0.1%
YPR182W,0.0011,0.999,604.2,10.1,0.0%
YLL045C,0.0011,0.994,604.2,10.1,0.4%
YBL010C,0.0011,0.995,604.3,10.1,0.3%
YGR006W,0.0011,0.998,604.3,10.1,0.2%
YGL103W,0.0011,0.992,604.6,10.1,0.6%
YML073C,0.0011,0.993,604.6,10.1,0.5%
YNL121C,0.0011,0.998,604.6,10.1,0.1%
YER163C,0.0011,0.995,604.6,10.1,0.2%
YKL154W,0.0011,0.999,604.6,10.1,0.1%
YLR291C,0.0011,0.996,604.7,10.1,0.3%
YOR026W,0.0011,0.991,604.9,10.1,0.6%
YLR369W,0.0011,0.997,604.9,10.1,0.3%
YPR169W,0.0011,0.992,605.0,10.1,0.4%
YKL216W,0.0011,0.995,605.2,10.1,0.4%
YGL030W,0.0011,0.993,605.3,10.1,0.5%
YKL056C,0.0011,0.993,605.3,10.1,0.5%
YPL048W,0.0011,0.997,605.5,10.1,0.2%
YGL232W,0.0011,0.995,605.5,10.1,0.4%
YOR046C,0.0011,0.996,605.6,10.1,0.3%
YMR174C,0.0011,0.994,605.6,10.1,0.8%
YER105C,0.0011,0.997,605.7,10.1,0.3%
YBR216C,0.0011,0.975,606.0,10.1,0.9%
YLR448W,0.0011,0.993,606.1,10.1,0.5%
YJL177W,0.0011,0.994,606.1,10.1,0.4%
YPR034W,0.0011,0.996,606.2,10.1,0.3%
YDL113C,0.0011,0.996,606.3,10.1,0.2%
YGL097W,0.0011,0.998,606.5,10.1,0.1%
YHR141C,0.0011,0.993,606.6,10.1,0.5%
YNL162W,0.0011,0.993,606.6,10.1,0.5%
YMR099C,0.0011,0.996,606.8,10.1,0.4%
YDR502C,0.0011,0.997,607.0,10.1,0.2%
YIR037W,0.0011,0.998,607.1,10.1,0.2%
YGL110C,0.0011,1.000,607.5,10.1,0.0%
YNL178W,0.0011,0.993,607.6,10.1,0.6%
YGL135W,0.0011,0.993,607.6,10.1,0.5%
YPL220W,0.0011,0.993,607.6,10.1,0.5%
YLR314C,0.0011,0.996,607.6,10.1,0.3%
YJL148W,0.0011,0.997,607.7,10.1,0.2%
YHL015W,0.0011,0.993,607.8,10.1,0.5%
YBL007C,0.0011,0.999,607.8,10.1,0.1%
YPR190C,0.0011,0.996,608.3,10.1,0.4%
YOR167C,0.0011,0.990,608.4,10.1,0.8%
YJL020C,0.0011,0.999,608.5,10.1,0.1%
YDR339C,0.0011,0.988,608.5,10.1,1.2%
YER030W,0.0011,0.993,608.6,10.1,0.7%
YLR345W,0.0011,0.999,608.8,10.1,0.1%
YDR496C,0.0011,0.998,608.9,10.1,0.1%
YHR046C,0.0011,0.995,608.9,10.1,0.3%
YKL157W,0.0011,0.999,609.0,10.1,0.1%
YGL151W,0.0011,0.996,609.0,10.2,0.3%
YMR196W,0.0011,0.973,609.2,10.2,1.3%
YKL196C,0.0011,0.997,609.4,10.2,0.2%
YOR007C,0.0011,0.998,609.6,10.2,0.2%
YIR006C,0.0011,0.998,609.7,10.2,0.2%
YOL025W,0.0011,0.992,609.9,10.2,0.2%
YNL149C,0.0011,0.996,610.1,10.2,0.3%
YJL208C,0.0011,0.938,610.3,10.2,0.3%
YEL013W,0.0011,0.997,610.8,10.2,0.2%
YNL021W,0.0011,0.999,610.9,10.2,0.0%
YBL064C,0.0011,0.975,611.0,10.2,1.2%
YER004W,0.0011,0.999,611.2,10.2,0.0%
YEL018W,0.0011,0.997,611.2,10.2,0.1%
YLR025W,0.0011,0.997,611.3,10.2,0.3%
YML070W,0.0011,0.999,611.4,10.2,0.1%
YLL040C,0.0011,0.969,612.0,10.2,1.0%
YBR081C,0.0011,0.998,612.1,10.2,0.1%
YIL070C,0.0011,0.998,612.1,10.2,0.2%
YGL167C,0.0011,0.999,612.3,10.2,0.1%
YFL004W,0.0011,0.996,612.6,10.2,0.3%
YDR207C,0.0011,0.996,612.7,10.2,0.6%
YLR104W,0.0011,0.993,612.7,10.2,0.7%
YLR115W,0.0011,0.996,612.8,10.2,0.1%
YKL148C,0.0011,0.993,613.2,10.2,0.6%
YGL099W,0.0011,0.997,613.2,10.2,0.2%
YLR059C,0.0011,0.991,613.3,10.2,0.9%
YGL189C,0.0011,0.991,613.4,10.2,0.8%
YHR190W,0.0011,0.999,613.4,10.2,0.1%
YER042W,0.0011,0.997,613.6,10.2,0.2%
YOR262W,0.0011,0.999,613.6,10.2,0.1%
YFR002W,0.0011,0.996,613.6,10.2,0.2%
YOR254C,0.0011,0.997,613.7,10.2,0.2%
YER112W,0.0011,0.996,613.9,10.2,0.3%
YLR003C,0.0011,0.997,614.1,10.2,0.1%
YMR242C,0.0011,0.994,614.2,10.2,0.4%
YOR312C,0.0011,0.994,614.2,10.2,0.4%
YIL034C,0.0011,0.997,614.2,10.2,0.3%
YDR033W,0.0011,0.993,614.3,10.2,0.3%
YGR195W,0.0011,0.998,614.3,10.2,0.2%
YGR001C,0.0011,0.995,614.6,10.2,0.4%
YBR094W,0.0011,0.998,614.7,10.2,0.2%
YDL058W,0.0011,0.995,614.9,10.2,0.4%
YOR358W,0.0011,0.995,614.9,10.2,0.7%
YFR004W,0.0011,0.999,615.0,10.3,0.1%
YGR203W,0.0011,0.999,615.3,10.3,0.2%
YGR118W,0.0011,0.991,615.3,10.3,0.7%
YPR132W,0.0011,0.991,615.3,10.3,0.7%
YIL162W,0.0011,0.994,615.5,10.3,0.6%
YHR098C,0.0011,0.994,615.6,10.3,0.5%
YGL123W,0.0011,0.994,615.6,10.3,0.4%
YLR386W,0.0011,0.995,615.8,10.3,0.4%
YDL125C,0.0011,0.994,616.4,10.3,0.5%
YGR155W,0.0011,0.998,616.6,10.3,0.2%
YJR137C,0.0011,0.994,616.7,10.3,0.5%
YGL210W,0.0011,0.995,616.9,10.3,0.4%
YJR032W,0.0011,0.993,616.9,10.3,0.6%
YCR053W,0.0011,0.996,617.0,10.3,0.3%
YNL067W,0.0011,0.997,617.2,10.3,0.2%
YDR181C,0.0011,0.991,617.4,10.3,0.5%
YBR121C,0.0011,0.997,617.4,10.3,0.3%
YJL095W,0.0011,0.994,617.6,10.3,0.5%
YDR531W,0.0011,0.996,618.1,10.3,0.3%
YLR033W,0.0011,0.996,618.2,10.3,0.4%
YDR381W,0.0011,0.995,618.2,10.3,0.4%
YDL088C,0.0011,0.998,618.5,10.3,0.2%
YLR340W,0.0011,0.993,618.5,10.3,0.6%
YLR238W,0.0011,0.994,618.7,10.3,0.4%
YDL143W,0.0011,0.997,618.8,10.3,0.3%
YMR260C,0.0011,0.996,619.1,10.3,0.3%
YKR054C,0.0011,0.994,619.2,10.3,0.3%
YGR085C,0.0011,0.994,619.3,10.3,0.5%
YPR102C,0.0011,0.994,619.3,10.3,0.5%
YER151C,0.0011,0.997,619.4,10.3,0.3%
YLR406C,0.0011,0.993,619.5,10.3,0.5%
YDR265W,0.0011,0.990,619.8,10.3,1.1%
YHR070W,0.0011,0.997,619.8,10.3,0.2%
YNL138W,0.0011,0.998,619.9,10.3,0.1%
YDL144C,0.0011,1.000,620.1,10.3,0.0%
YDL111C,0.0011,0.998,620.2,10.3,0.1%
YLR126C,0.0011,0.997,620.3,10.3,0.1%
YDL226C,0.0011,0.995,620.3,10.3,0.4%
YLR243W,0.0011,0.993,620.4,10.3,0.7%
YDR418W,0.0011,0.994,620.4,10.3,0.4%
YEL054C,0.0011,0.994,620.4,10.3,0.4%
YJL197W,0.0011,0.998,620.4,10.3,0.1%
YKL215C,0.0011,0.996,620.7,10.3,0.5%
YDL084W,0.0011,0.994,620.7,10.3,0.5%
YMR202W,0.0011,0.997,620.7,10.3,0.2%
YIL026C,0.0011,0.994,620.9,10.3,0.3%
YOL039W,0.0011,0.994,621.1,10.4,0.5%
YLL062C,0.0011,0.995,621.2,10.4,0.4%
YDR002W,0.0011,0.997,621.7,10.4,0.2%
YNL071W,0.0011,0.995,622.2,10.4,0.4%
YGR281W,0.0011,0.999,622.4,10.4,0.0%
YBR160W,0.0011,0.996,622.4,10.4,0.4%
YLR301W,0.0011,0.995,622.5,10.4,0.4%
YLL032C,0.0011,0.990,622.9,10.4,0.8%
YIL033C,0.0011,0.998,623.0,10.4,0.1%
YKR084C,0.0011,0.996,623.0,10.4,0.3%
YGR264C,0.0011,0.996,623.2,10.4,0.3%
YOR074C,0.0011,0.991,623.2,10.4,0.5%
YFR009W,0.0011,0.995,623.3,10.4,0.4%
YLR390W,0.0011,0.996,623.3,10.4,0.3%
YBR198C,0.0011,0.998,623.5,10.4,0.2%
YOR143C,0.0011,0.998,623.6,10.4,0.2%
YJR068W,0.0011,0.996,623.8,10.4,0.3%
YER053C,0.0011,0.998,623.8,10.4,0.1%
YEL055C,0.0011,0.998,623.9,10.4,0.1%
YOR069W,0.0011,0.998,624.0,10.4,0.2%
YMR110C,0.0011,0.999,624.2,10.4,0.1%
YKL057C,0.0011,0.997,624.4,10.4,0.2%
YJL203W,0.0011,0.988,624.5,10.4,0.9%
YLR418C,0.0011,0.997,624.6,10.4,0.3%
YGL206C,0.0011,0.998,624.6,10.4,0.1%
YDL006W,0.0011,0.984,624.6,10.4,1.7%
YPR063C,0.0011,0.999,624.6,10.4,0.1%
YKL189W,0.0011,0.950,624.7,10.4,1.9%
YOR051C,0.0011,0.995,625.0,10.4,0.4%
YLR432W,0.0011,0.994,625.1,10.4,0.5%
YLR118C,0.0011,0.997,625.4,10.4,0.2%
YDR341C,0.0011,0.997,625.5,10.4,0.2%
YFL039C,0.0011,0.997,625.5,10.4,0.2%
YBL029C-A,0.0011,0.995,625.6,10.4,0.5%
YLR186W,0.0011,0.996,626.0,10.4,0.3%
YGL159W,0.0011,0.998,626.0,10.4,0.2%
YGL137W,0.0011,0.997,626.2,10.4,0.3%
YOR057W,0.0011,0.999,626.3,10.4,0.1%
YGL073W,0.0011,0.990,626.7,10.4,1.2%
YPL227C,0.0011,0.995,626.7,10.4,0.4%
YDR023W,0.0011,0.996,627.0,10.5,0.3%
YGL213C,0.0011,0.998,627.4,10.5,0.1%
YLR328W,0.0011,0.998,627.5,10.5,0.2%
YMR209C,0.0011,0.999,627.5,10.5,0.1%
YJL207C,0.0011,0.994,627.6,10.5,0.5%
YBR112C,0.0011,0.993,627.8,10.5,0.5%
YOR265W,0.0011,0.996,627.8,10.5,0.4%
YKR048C,0.0011,0.997,628.0,10.5,0.2%
YLR298C,0.0011,0.999,628.0,10.5,0.0%
YOR061W,0.0011,0.996,628.1,10.5,0.4%
YNR021W,0.0011,0.996,628.1,10.5,0.3%
YER107C,0.0011,0.981,628.1,10.5,0.7%
YGR017W,0.0011,0.996,628.1,10.5,0.3%
YJL008C,0.0011,0.998,628.2,10.5,0.2%
YJL014W,0.0011,0.998,628.2,10.5,0.2%
YBR208C,0.0011,0.998,628.4,10.5,0.1%
YFL017C,0.0011,0.994,628.6,10.5,0.5%
YDL099W,0.0011,0.998,628.9,10.5,0.2%
YGL047W,0.0011,0.998,629.0,10.5,0.2%
YBR171W,0.0011,0.998,629.3,10.5,0.1%
YLR433C,0.0011,0.995,629.4,10.5,0.4%
YKL047W,0.0011,0.997,629.4,10.5,0.3%
YBL079W,0.0011,0.997,629.6,10.5,0.2%
YGL087C,0.0011,0.990,629.7,10.5,0.9%
YDR515W,0.0011,0.994,629.7,10.5,0.3%
YGR109W-A,0.0011,0.992,629.8,10.5,0.6%
YIL082W,0.0011,0.992,629.8,10.5,0.6%
YCL037C,0.0011,0.993,630.2,10.5,0.5%
YPR191W,0.0011,0.998,630.4,10.5,0.2%
YPL235W,0.0011,0.998,630.6,10.5,0.2%
YBR261C,0.0011,0.996,630.7,10.5,0.2%
YIR001C,0.0011,0.996,630.8,10.5,0.3%
YDR234W,0.0011,0.993,630.8,10.5,0.5%
YDR516C,0.0011,0.994,630.9,10.5,0.2%
YGR034W,0.0011,0.994,630.9,10.5,0.4%
YOR109W,0.0011,0.999,631.0,10.5,0.1%
YER063W,0.0011,0.993,631.5,10.5,0.7%
YBL002W,0.0011,0.993,631.6,10.5,0.5%
YDR224C,0.0011,0.993,631.6,10.5,0.5%
YLR225C,0.0011,0.996,632.0,10.5,0.3%
YOR361C,0.0011,0.997,632.0,10.5,0.3%
YGR124W,0.0011,0.997,632.3,10.5,0.2%
YLR321C,0.0011,0.999,632.3,10.5,0.0%
YER090W,0.0011,0.996,632.5,10.5,0.3%
YJL065C,0.0011,0.995,632.5,10.5,0.4%
YHR192W,0.0011,0.996,632.6,10.5,0.4%
YPL129W,0.0011,0.997,632.6,10.5,0.2%
YDR324C,0.0011,0.996,632.7,10.5,0.2%
YAL007C,0.0011,0.998,632.7,10.5,0.1%
YLR287C,0.0011,0.998,632.9,10.5,0.1%
YFR006W,0.0011,0.997,633.0,10.6,0.3%
YDR162C,0.0011,0.998,633.1,10.6,0.1%
YDR361C,0.0011,0.997,633.3,10.6,0.2%
YLR285W,0.0011,0.990,633.3,10.6,1.0%
YIL035C,0.0011,0.997,633.6,10.6,0.2%
YOL059W,0.0011,0.999,633.6,10.6,0.0%
YOL145C,0.0011,0.999,633.8,10.6,0.1%
YHL001W,0.0011,0.994,633.9,10.6,0.4%
YBL027W,0.0011,0.994,633.9,10.6,0.5%
YBR084C-A,0.0011,0.994,633.9,10.6,0.5%
YHL013C,0.0011,0.997,634.0,10.6,0.2%
YBL057C,0.0011,0.995,634.0,10.6,0.3%
YPL117C,0.0011,0.997,634.1,10.6,0.3%
YNR074C,0.0011,0.993,634.1,10.6,0.4%
YPR097W,0.0011,0.998,634.1,10.6,0.2%
YDR248C,0.0011,0.999,634.3,10.6,0.1%
YOL016C,0.0011,0.996,634.7,10.6,0.1%
YAL016W,0.0011,0.999,634.9,10.6,0.1%
YML078W,0.0011,0.997,634.9,10.6,0.2%
YOR138C,0.0011,0.994,635.0,10.6,0.6%
YDR064W,0.0011,0.993,635.1,10.6,0.5%
YNL297C,0.0011,0.995,635.1,10.6,0.3%
YOR176W,0.0011,0.999,635.2,10.6,0.1%
YEL044W,0.0011,0.997,635.2,10.6,0.2%
YBL041W,0.0011,0.999,635.3,10.6,0.1%
YDL081C,0.0011,0.997,635.3,10.6,0.2%
YGL062W,0.0011,0.998,635.4,10.6,0.1%
YDR328C,0.0011,0.998,635.5,10.6,0.1%
YPL247C,0.0011,0.998,635.6,10.6,0.3%
YPL064C,0.0011,0.771,635.7,10.6,7.1%
YMR309C,0.0011,0.998,635.9,10.6,0.1%
YLL001W,0.0011,0.999,636.2,10.6,0.1%
YNL330C,0.0011,0.998,636.3,10.6,0.0%
YDR472W,0.0011,0.997,636.7,10.6,0.3%
YDR430C,0.0011,0.999,636.7,10.6,0.1%
YGL011C,0.0011,0.997,636.9,10.6,0.3%
YOR128C,0.0011,0.985,637.3,10.6,0.5%
YPR103W,0.0011,0.993,637.4,10.6,0.3%
YNR050C,0.0011,0.999,637.6,10.6,0.1%
YDR121W,0.0011,0.996,637.6,10.6,0.3%
YDR164C,0.0011,0.996,637.6,10.6,0.2%
YGL105W,0.0011,0.996,637.9,10.6,0.3%
YGR054W,0.0011,0.998,637.9,10.6,0.2%
YML126C,0.0011,0.998,638.0,10.6,0.1%
YOR039W,0.0011,0.995,638.0,10.6,0.4%
YLR293C,0.0011,0.997,638.1,10.6,0.3%
YGR185C,0.0011,0.996,638.2,10.6,0.3%
YGL147C,0.0011,0.992,638.2,10.6,0.5%
YAL021C,0.0011,0.999,638.3,10.6,0.0%
YNL129W,0.0011,0.998,638.4,10.6,0.1%
YDL141W,0.0011,0.999,638.5,10.6,0.1%
YOR168W,0.0011,0.996,638.5,10.6,0.3%
YGR020C,0.0011,0.996,638.7,10.6,0.3%
YPR148C,0.0011,0.998,638.8,10.6,0.2%
YDR071C,0.0011,0.997,638.9,10.6,0.2%
YIR003W,0.0011,0.999,639.1,10.7,0.1%
YJR057W,0.0011,0.984,639.1,10.7,0.6%
YKR023W,0.0011,0.999,639.5,10.7,0.1%
YJR123W,0.0011,0.995,639.6,10.7,0.4%
YDR395W,0.0011,0.994,639.9,10.7,0.5%
YDR454C,0.0011,0.995,640.2,10.7,0.3%
YDL147W,0.0011,0.998,640.2,10.7,0.2%
YMR314W,0.0011,0.997,640.3,10.7,0.3%
YDL095W,0.0011,0.994,640.4,10.7,0.5%
YDR450W,0.0011,0.995,640.5,10.7,0.3%
YML026C,0.0011,0.995,640.5,10.7,0.3%
YGR232W,0.0011,0.999,640.5,10.7,0.1%
YGR010W,0.0011,1.000,640.7,10.7,1.3%
YFL028C,0.0011,0.996,640.7,10.7,0.4%
YOR260W,0.0011,0.997,640.8,10.7,0.2%
YKL085W,0.0011,0.994,641.0,10.7,0.5%
YPL160W,0.0011,0.995,641.2,10.7,0.4%
YGL130W,0.0011,0.996,641.4,10.7,0.3%
YEL015W,0.0011,0.999,641.6,10.7,0.1%
YGR208W,0.0011,0.995,641.7,10.7,0.4%
YGL124C,0.0011,0.995,642.0,10.7,0.6%
YML100W,0.0011,0.992,642.3,10.7,0.3%
YER120W,0.0011,0.995,642.5,10.7,0.4%
YLR275W,0.0011,0.999,642.8,10.7,0.1%
YDR304C,0.0011,0.999,642.9,10.7,0.1%
YKR080W,0.0011,0.982,642.9,10.7,0.6%
YNL113W,0.0011,0.998,643.0,10.7,0.2%
YKL067W,0.0011,0.998,643.0,10.7,0.1%
YML106W,0.0011,0.996,643.0,10.7,0.2%
YMR194W,0.0011,0.994,643.2,10.7,0.5%
YLR290C,0.0011,0.999,643.4,10.7,0.1%
YJL085W,0.0011,0.998,643.6,10.7,0.2%
YCR102C,0.0011,0.996,643.6,10.7,0.2%
YLR460C,0.0011,0.996,643.6,10.7,0.2%
YPL085W,0.0011,0.997,643.9,10.7,0.2%
YOR209C,0.0011,0.997,644.0,10.7,0.3%
YOR353C,0.0011,0.997,644.0,10.7,0.2%
YGL082W,0.0011,0.999,644.5,10.7,0.1%
YPL145C,0.0011,0.995,644.7,10.7,0.4%
YPL131W,0.0011,0.994,644.9,10.7,0.5%
YER007C-A,0.0011,0.998,645.0,10.8,0.1%
YLR120C,0.0011,0.990,645.0,10.8,0.5%
YIR036C,0.0011,0.999,645.1,10.8,0.1%
YDR099W,0.0011,0.999,645.2,10.8,0.1%
YLR133W,0.0011,0.998,645.2,10.8,0.2%
Q0140,0.0011,0.998,645.3,10.8,0.1%
